id_asegurado,ciudad,lista_restrictiva,nombres_asegurado,segmento,perfil_riesgo_historico,antiguedad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado
ASEG-0010,Quito,False,García Morales Luis Eduardo,Natural,Medio,8,2,2,False,100
ASEG-0171,Riobamba,False,Pérez Vásquez Ana Lucía,Natural,Medio,6,2,2,False,100
ASEG-0158,Ambato,False,Torres Espinoza Carlos Andrés,Natural,Medio,6,2,2,False,100
ASEG-0169,Loja,False,Rodríguez Cárdenas María José,Natural,Medio,6,2,2,False,100
ASEG-0103,Riobamba,False,López Guerrero Juan Pablo,Natural,Medio,14,2,2,False,100
ASEG-0194,Cuenca,False,Martínez Alvarado Rosa Elena,Natural,Medio,6,2,2,False,100
ASEG-0061,Loja,False,Freire Castillo Marco Antonio,Natural,Alto,14,9,9,True,41
ASEG-0100,Cuenca,False,Sánchez Herrera Diego Alejandro,Natural,Alto,14,5,5,True,65
ASEG-0125,Loja,False,Ramírez Peñafiel Carmen Susana,Natural,Medio,13,2,2,False,100
ASEG-0084,Riobamba,False,Flores Castillo Roberto Antonio,Natural,Alto,6,5,5,True,57
ASEG-0160,Quito,False,Jiménez Vargas Patricia Elena,Natural,Medio,8,2,2,False,100
ASEG-0080,Cuenca,False,Morales Freire Byron Rodrigo,Natural,Medio,8,3,3,False,98
ASEG-0018,Portoviejo,False,Castro Villafuerte Sandra Cristina,Natural,Alto,6,4,4,True,63
ASEG-0083,Riobamba,False,Ortega Suárez Héctor Guillermo,Natural,Medio,7,3,3,False,96
ASEG-0143,Riobamba,False,Núñez Andrade Verónica Paola,Natural,Alto,2,5,5,True,49
ASEG-0079,Guayaquil,False,Herrera Salinas Jorge Enrique,Natural,Bajo,6,1,1,False,100
ASEG-0050,Loja,False,Vega Montoya Fanny Lorena,Natural,Alto,6,6,6,True,51
ASEG-0179,Riobamba,False,Mendoza Ríos Marco Vinicio,Natural,Medio,12,2,2,False,100
ASEG-0039,Ambato,False,Silva Intriago Katherine Noemi,Natural,Alto,1,8,8,True,29
ASEG-0146,Riobamba,False,Ramos Loor Freddy Oswaldo,Natural,Medio,7,2,2,False,100
ASEG-0075,Portoviejo,False,Aguirre Bermeo Liliana Alexandra,Natural,Alto,12,6,6,True,59
ASEG-0037,Loja,False,Carrillo Cabrera Patricio German,Natural,Medio,2,2,2,False,92
ASEG-0007,Manta,False,Gutiérrez Moreta Diana Fernanda,Natural,Bajo,4,1,1,False,100
ASEG-0024,Ambato,False,Vargas Andrade William Alexis,Natural,Alto,2,6,6,True,43
ASEG-0113,Guayaquil,False,Mora Loza Adriana Marcela,Natural,Alto,12,5,5,True,65
ASEG-0184,Riobamba,False,Naranjo Velasco Edwin Patricio,Natural,Medio,1,2,2,False,90
ASEG-0130,Ambato,False,Espinoza Rueda Cinthya Dayana,Natural,Medio,11,2,2,False,100
ASEG-0147,Loja,False,Brito Ordóñez Henry Omar,Natural,Alto,13,4,4,True,71
ASEG-0004,Ibarra,False,Pacheco Vélez Gloria Susana,Natural,Alto,2,7,7,True,37
ASEG-0139,Cuenca,False,Delgado Cevallos Iván Rodrigo,Natural,Bajo,14,1,1,False,100
ASEG-0111,Portoviejo,False,Cabrera Yépez Marcelo Javier,Natural,Medio,10,2,2,False,100
ASEG-0118,Manta,False,Salcedo Ponce Margoth Elizabeth,Natural,Medio,14,3,3,False,100
ASEG-0028,Loja,False,Núñez Villafuerte Diego Sebastián,Natural,Alto,6,5,5,True,57
ASEG-0156,Riobamba,False,Palacios Andrade Cristóbal Sebastián,Natural,Bajo,2,1,1,False,98
ASEG-0120,Esmeraldas,False,Montoya Llorente Daniela Fernanda,Natural,Bajo,9,1,1,False,100
ASEG-0033,Riobamba,False,Hidalgo Zurita Alexandra Paola,Natural,Medio,13,3,3,False,100
ASEG-0029,Manta,False,Benítez Arcos Luis Fernando,Natural,Medio,7,3,3,False,96
ASEG-0116,Portoviejo,False,Cordero Alvarado Beatriz Elena,Natural,Alto,10,5,5,True,65
ASEG-0017,Manta,False,Ulloa Morocho Gonzalo Patricio,Natural,Medio,4,2,2,False,96
ASEG-0087,Ambato,False,Andrade Viteri Sandra Lorena,Natural,Medio,4,3,3,False,90
ASEG-0034,Riobamba,False,Almeida Granda Fernando Eduardo,Natural,Bajo,5,1,1,False,100
ASEG-0180,Esmeraldas,False,Bonilla Torres Nathaly Carolina,Natural,Medio,3,3,3,False,88
ASEG-0041,Cuenca,False,García Morales Luis Eduardo,Natural,Medio,3,3,3,False,88
ASEG-0070,Esmeraldas,False,Pérez Vásquez Ana Lucía,Natural,Alto,6,7,7,True,45
ASEG-0196,Ibarra,False,Torres Espinoza Carlos Andrés,Natural,Bajo,13,1,1,False,100
ASEG-0005,Guayaquil,False,Rodríguez Cárdenas María José,Natural,Medio,7,2,2,False,100
ASEG-0063,Ibarra,False,López Guerrero Juan Pablo,Natural,Alto,13,7,7,True,53
ASEG-0066,Riobamba,False,Martínez Alvarado Rosa Elena,Natural,Medio,4,2,2,False,96
ASEG-0119,Manta,False,Sánchez Herrera Diego Alejandro,Natural,Bajo,14,1,1,False,100
ASEG-0021,Manta,False,Ramírez Peñafiel Carmen Susana,Natural,Medio,11,3,3,True,87
ASEG-0131,Ibarra,False,Flores Castillo Roberto Antonio,Natural,Medio,4,3,3,False,90
ASEG-0153,Esmeraldas,False,Jiménez Vargas Patricia Elena,Natural,Alto,13,4,4,True,71
ASEG-0137,Ibarra,False,Morales Freire Byron Rodrigo,Natural,Bajo,3,1,1,True,85
ASEG-0073,Quito,False,Ruiz Andrade Patricia Elena,Natural,Alto,5,7,7,True,43
ASEG-0162,Portoviejo,False,Castro Villafuerte Sandra Cristina,Natural,Alto,14,4,4,True,71
ASEG-0165,Ibarra,False,Ortega Suárez Héctor Guillermo,Natural,Bajo,2,1,1,False,98
ASEG-0065,Portoviejo,False,Núñez Andrade Verónica Paola,Natural,Alto,6,4,4,True,63
ASEG-0095,Ibarra,False,Herrera Salinas Jorge Enrique,Natural,Alto,5,6,6,True,49
ASEG-0115,Cuenca,False,Vega Montoya Fanny Lorena,Natural,Medio,12,3,3,False,100
ASEG-0009,Ibarra,False,Mendoza Ríos Marco Vinicio,Natural,Alto,6,5,5,True,57
ASEG-0064,Guayaquil,False,Silva Intriago Katherine Noemi,Natural,Alto,3,7,7,True,39
ASEG-0093,Ambato,False,Ramos Loor Freddy Oswaldo,Natural,Alto,14,6,6,True,59
ASEG-0182,Manta,False,Aguirre Bermeo Liliana Alexandra,Natural,Alto,3,6,6,True,45
ASEG-0145,Quito,False,Carrillo Cabrera Patricio German,Natural,Medio,3,3,3,False,88
ASEG-0132,Portoviejo,False,Gutiérrez Moreta Diana Fernanda,Natural,Bajo,10,1,1,False,100
ASEG-0049,Loja,False,Vargas Andrade William Alexis,Natural,Medio,5,3,3,False,92
